threshold,fmeasure
0.0,0
0.05,8.032128514056227
0.1,7.662835249042145
0.15000000000000002,9.66542750929368
0.2,12.76595744680851
0.25,14.046822742474916
0.30000000000000004,20.12578616352201
0.35000000000000003,23.323615160349856
0.4,27.945205479452056
0.45,29.015544041450774
0.5,30.17902813299233
0.55,33.25062034739454
0.6000000000000001,39.359267734553775
0.65,39.10112359550562
0.7000000000000001,39.11111111111111
0.75,41.46868250539956
0.8,42.10526315789473
0.8500000000000001,41.928721174004195
0.9,41.66666666666667
0.9500000000000001,41.66666666666667
1.0,41.66666666666667
